language,metric,real_value,random_mean,random_std,z_score
catalan,fully_random:avg_dependency_length,3.0540447504302928,12.840448064913794,0.04968873236760944,-196.95417548753883
catalan,fully_random:avg_complexity,4.7913773669972946,7.117891084712539,0.022490783926205914,-103.44298026021347
catalan,fully_random:avg_arity,0.5836339044183949,0.9362659052448596,0.0030009791983932666,-117.50564649540556
catalan,fully_random:avg_subtree_size,2.687669071235347,6.004336541097641,0.02494717417668814,-132.94762149700907
catalan,fully_random:avg_depth,5.307709648331831,5.2321230581822755,0.025192095603927142,3.000408990896825
catalan,fully_random:avg_efficiency_ratio,2.187787990557478,4.616014023799682,0.027682211333639642,-87.71792123020911
catalan,grammar_constrained:avg_dependency_length,3.0540447504302928,4.155275200743058,0.02290228146659824,-48.083875482835694
catalan,grammar_constrained:avg_complexity,4.7913773669972946,5.521675816315785,0.0270347320507341,-27.013341502626798
catalan,grammar_constrained:avg_arity,0.5836339044183949,0.6870130588546232,0.002359750390375212,-43.8093600314186
catalan,grammar_constrained:avg_subtree_size,2.687669071235347,3.2703912587798,0.022939901957678224,-25.40212197155488
catalan,grammar_constrained:avg_depth,5.307709648331831,5.995735936050374,0.028386469428799382,-24.23782532886984
catalan,grammar_constrained:avg_efficiency_ratio,2.187787990557478,2.8507776284557855,0.010032745458531642,-66.08257337322505
catalan,projective_random:avg_dependency_length,3.0540447504302928,6.570960837622027,0.07040364242778914,-49.95360986896278
catalan,projective_random:avg_complexity,4.7913773669972946,6.217913939868649,0.02376952434971248,-60.015360504620695
catalan,projective_random:avg_arity,0.5836339044183949,0.7832032390522974,0.001957197121263264,-101.96690587051924
catalan,projective_random:avg_subtree_size,2.687669071235347,3.7297558857240785,0.02557491665879324,-40.74644028724286
catalan,projective_random:avg_depth,5.307709648331831,6.783311549139813,0.049582626801876306,-29.760462403580085
catalan,projective_random:avg_efficiency_ratio,2.187787990557478,3.2365627346956494,0.04866107879319606,-21.552640634938292
catalan,simplified:avg_dependency_length,3.0540447504302928,2.9041873669268985,0.0,
catalan,simplified:avg_complexity,4.7913773669972946,4.5282746823069395,0.0,
catalan,simplified:avg_arity,0.5836339044183949,0.5296920821114369,0.0,
catalan,simplified:avg_subtree_size,2.687669071235347,2.3570381231671553,0.0,
catalan,simplified:avg_depth,5.307709648331831,5.281524926686217,0.0,
catalan,simplified:avg_efficiency_ratio,2.187787990557478,2.1184744729477205,0.0,
