language,metric,real_value,random_mean,random_std,z_score
marathi,fully_random:avg_dependency_length,2.273062730627306,3.158450578183327,0.024080616300668364,-36.767657293366156
marathi,fully_random:avg_complexity,2.863068181818182,3.9345820786999184,0.05023267231585667,-21.331015203495305
marathi,fully_random:avg_arity,0.3961038961038961,0.7428582407453116,0.01804542307249564,-19.215639514150784
marathi,fully_random:avg_subtree_size,1.672077922077922,2.957763894490984,0.06758196858899308,-19.024097688424817
marathi,fully_random:avg_depth,2.330357142857143,2.2208498411219444,0.025930536524876764,4.223102041492327
marathi,fully_random:avg_efficiency_ratio,1.321947870163133,1.8746277752395228,0.023782397330845192,-23.239032524260175
marathi,grammar_constrained:avg_dependency_length,2.273062730627306,2.496326921001343,0.007837381466863238,-28.48708989322605
marathi,grammar_constrained:avg_complexity,2.863068181818182,3.0302312180539572,0.010568282193019496,-15.81742739100862
marathi,grammar_constrained:avg_arity,0.3961038961038961,0.4345443041161392,0.0012883939912449246,-29.83591065579219
marathi,grammar_constrained:avg_subtree_size,1.672077922077922,1.7307831244019631,0.013465706350550782,-4.359608088560456
marathi,grammar_constrained:avg_depth,2.330357142857143,2.5841327648914345,0.009657051876152647,-26.27878831851067
marathi,grammar_constrained:avg_efficiency_ratio,1.321947870163133,1.4334871368959046,0.011471897979896405,-9.722825894044318
marathi,projective_random:avg_dependency_length,2.273062730627306,2.5736255941420936,0.1196032507682895,-2.512999116529665
marathi,projective_random:avg_complexity,2.863068181818182,3.234495999330448,0.1011718216911861,-3.671257582432403
marathi,projective_random:avg_arity,0.3961038961038961,0.47742805334802113,0.023924733540825593,-3.3991666868662094
marathi,projective_random:avg_subtree_size,1.672077922077922,1.7954209326129416,0.07803890395252516,-1.58053232795344
marathi,projective_random:avg_depth,2.330357142857143,2.899512348750354,0.06747427530580313,-8.435143664955538
marathi,projective_random:avg_efficiency_ratio,1.321947870163133,1.5285261294917747,0.12271521230071203,-1.6833956887302959
marathi,simplified:avg_dependency_length,2.273062730627306,1.9127134724857684,0.0,
marathi,simplified:avg_complexity,2.863068181818182,2.5273809523809527,0.0,
marathi,simplified:avg_arity,0.3961038961038961,0.2400793650793651,0.0,
marathi,simplified:avg_subtree_size,1.672077922077922,1.3859126984126984,0.0,
marathi,simplified:avg_depth,2.330357142857143,2.3035714285714284,0.0,
marathi,simplified:avg_efficiency_ratio,1.321947870163133,1.281693991841905,0.0,
