language,metric,real_value,random_mean,random_std,z_score
galician,fully_random:avg_dependency_length,3.2028941814892975,11.076597593364431,0.025313033472597682,-311.0533322842841
galician,fully_random:avg_complexity,5.177960278614458,7.316200217680877,0.045528330629779776,-46.96504153543048
galician,fully_random:avg_arity,0.5990210843373494,0.9291993625881324,0.005474268058698977,-60.314598172829285
galician,fully_random:avg_subtree_size,3.1644390060240966,6.219533722811684,0.06298569434591951,-48.504581056277736
galician,fully_random:avg_depth,5.505365210843373,5.410099307808423,0.0051080297869075504,18.650224648087885
galician,fully_random:avg_efficiency_ratio,2.0223558132577226,3.675635065345501,0.026634921605002082,-62.07186477234797
galician,grammar_constrained:avg_dependency_length,3.2028941814892975,5.037357582806135,0.07770198129399886,-23.608965572908993
galician,grammar_constrained:avg_complexity,5.177960278614458,6.009542034994948,0.020481812818241768,-40.600984090619946
galician,grammar_constrained:avg_arity,0.5990210843373494,0.7208986566250059,0.0032764870138611074,-37.197636301336175
galician,grammar_constrained:avg_subtree_size,3.1644390060240966,3.606304704233582,0.03530471644286432,-12.515769640143755
galician,grammar_constrained:avg_depth,5.505365210843373,6.605794130675549,0.02885691912478475,-38.133971096278074
galician,grammar_constrained:avg_efficiency_ratio,2.0223558132577226,2.925799010430931,0.06297233496140488,-14.346668227038423
galician,projective_random:avg_dependency_length,3.2028941814892975,6.907548376411221,0.06885878760065016,-53.80074677479428
galician,projective_random:avg_complexity,5.177960278614458,6.609910504276546,0.03405313910579353,-42.05046181538275
galician,projective_random:avg_arity,0.5990210843373494,0.787399470071486,0.002089208647128781,-90.16733967333845
galician,projective_random:avg_subtree_size,3.1644390060240966,3.9668556927970564,0.03525940315599837,-22.75752324061821
galician,projective_random:avg_depth,5.505365210843373,7.386937451299798,0.032275905062094296,-58.296498172136296
galician,projective_random:avg_efficiency_ratio,2.0223558132577226,3.029619503144886,0.027177317971303076,-37.06265978676585
galician,simplified:avg_dependency_length,3.2028941814892975,3.2260403530895334,0.0,
galician,simplified:avg_complexity,5.177960278614458,4.974543144727842,0.0,
galician,simplified:avg_arity,0.5990210843373494,0.5515489103879605,0.0,
galician,simplified:avg_subtree_size,3.1644390060240966,2.6272842763607933,0.0,
galician,simplified:avg_depth,5.505365210843373,5.927782663930421,0.0,
galician,simplified:avg_efficiency_ratio,2.0223558132577226,2.331044822796572,0.0,
