term,coefficient,std_error,p_value
Intercept,2.948401676508208,0.37518894740136355,3.889316865388629e-15
C(direction)[T.right],0.0700840236684084,0.031719540759399076,0.027140543128873953
C(modifies)[T.modifies_head],0.1886242950707166,0.04493872526175054,2.700368705539339e-05
C(modifies)[T.neither],0.370779250149372,0.0385402783456769,6.547059147736837e-22
C(typology)[T.SVO],0.7800937023608119,0.5694762824931761,0.17073558526623822
dependency_distance,0.07232367127378336,0.0012730629841470865,0.0
Group Var,0.06495098116087775,0.03534287282949579,0.0661008516027923
