language,metric,real_value,random_mean,random_std,z_score
catalan,fully_random:avg_dependency_length,3.0540447504302928,12.840448064913794,0.0496887323676094,-196.95417548753883
catalan,fully_random:avg_complexity,4.7913773669972946,7.117891084712539,0.0224907839262059,-103.44298026021347
catalan,fully_random:avg_arity,0.5836339044183949,0.9362659052448596,0.0030009791983932,-117.50564649540556
catalan,fully_random:avg_subtree_size,2.687669071235347,6.004336541097641,0.0249471741766881,-132.94762149700907
catalan,fully_random:avg_depth,5.307709648331831,5.2321230581822755,0.0251920956039271,3.000408990896825
catalan,fully_random:avg_efficiency_ratio,2.187787990557478,4.616014023799682,0.0276822113336396,-87.71792123020911
catalan,grammar_constrained:avg_dependency_length,3.0540447504302928,4.155275200743058,0.0229022814665982,-48.083875482835694
catalan,grammar_constrained:avg_complexity,4.7913773669972946,5.521675816315785,0.0270347320507341,-27.0133415026268
catalan,grammar_constrained:avg_arity,0.5836339044183949,0.6870130588546232,0.0023597503903752,-43.8093600314186
catalan,grammar_constrained:avg_subtree_size,2.687669071235347,3.2703912587798,0.0229399019576782,-25.40212197155488
catalan,grammar_constrained:avg_depth,5.307709648331831,5.995735936050374,0.0283864694287993,-24.23782532886984
catalan,grammar_constrained:avg_efficiency_ratio,2.187787990557478,2.8507776284557855,0.0100327454585316,-66.08257337322505
catalan,projective_random:avg_dependency_length,3.0540447504302928,6.570960837622027,0.0704036424277891,-49.95360986896278
catalan,projective_random:avg_complexity,4.7913773669972946,6.217913939868649,0.0237695243497124,-60.015360504620695
catalan,projective_random:avg_arity,0.5836339044183949,0.7832032390522974,0.0019571971212632,-101.96690587051924
catalan,projective_random:avg_subtree_size,2.687669071235347,3.7297558857240785,0.0255749166587932,-40.74644028724286
catalan,projective_random:avg_depth,5.307709648331831,6.783311549139813,0.0495826268018763,-29.760462403580085
catalan,projective_random:avg_efficiency_ratio,2.187787990557478,3.23656273469565,0.048661078793196,-21.552640634938292
catalan,simplified:avg_dependency_length,3.0540447504302928,2.9041873669268985,0.0,
catalan,simplified:avg_complexity,4.7913773669972946,4.5282746823069395,0.0,
catalan,simplified:avg_arity,0.5836339044183949,0.5296920821114369,0.0,
catalan,simplified:avg_subtree_size,2.687669071235347,2.3570381231671553,0.0,
catalan,simplified:avg_depth,5.307709648331831,5.281524926686217,0.0,
catalan,simplified:avg_efficiency_ratio,2.187787990557478,2.1184744729477205,0.0,
galician,fully_random:avg_dependency_length,3.2028941814892975,11.076597593364433,0.0253130334725976,-311.0533322842841
galician,fully_random:avg_complexity,5.177960278614458,7.316200217680877,0.0455283306297797,-46.96504153543048
galician,fully_random:avg_arity,0.5990210843373494,0.9291993625881324,0.0054742680586989,-60.314598172829285
galician,fully_random:avg_subtree_size,3.164439006024097,6.219533722811684,0.0629856943459195,-48.504581056277736
galician,fully_random:avg_depth,5.505365210843373,5.410099307808423,0.0051080297869075,18.650224648087885
galician,fully_random:avg_efficiency_ratio,2.022355813257722,3.675635065345501,0.026634921605002,-62.07186477234797
galician,grammar_constrained:avg_dependency_length,3.2028941814892975,5.037357582806135,0.0777019812939988,-23.608965572908993
