language,metric,real_value,random_mean,random_std,z_score
indonesian,fully_random:avg_dependency_length,3.4319218241042346,11.076290390769506,0.06631650628678576,-115.27097844399698
indonesian,fully_random:avg_complexity,4.448073272589218,6.8806299438041165,0.06646838798723194,-36.59719672579052
indonesian,fully_random:avg_arity,0.5677676537585421,0.9336628960501514,0.010501666713100204,-34.841635360144956
indonesian,fully_random:avg_subtree_size,2.5833333333333335,5.725804401596908,0.09204535595097335,-34.14046299019547
indonesian,fully_random:avg_depth,4.540432801822323,4.965098975605799,0.008822366108567525,-48.135179220354104
indonesian,fully_random:avg_efficiency_ratio,3.067943939600453,5.551500786161632,0.11075074960061172,-22.42474074006142
indonesian,grammar_constrained:avg_dependency_length,3.4319218241042346,4.817795798364074,0.1424502218137285,-9.728829879057985
indonesian,grammar_constrained:avg_complexity,4.448073272589218,5.412729018118718,0.11276132625960929,-8.554845686264656
indonesian,grammar_constrained:avg_arity,0.5677676537585421,0.7067143823640979,0.007784350685693582,-17.84949499524965
indonesian,grammar_constrained:avg_subtree_size,2.5833333333333335,3.325119157847432,0.11554993078343113,-6.4196128849647405
indonesian,grammar_constrained:avg_depth,4.540432801822323,5.489144527268375,0.11197848481778461,-8.472267927091794
indonesian,grammar_constrained:avg_efficiency_ratio,3.067943939600453,3.5941224348322494,0.25750781096328107,-2.0433496493309318
indonesian,projective_random:avg_dependency_length,3.4319218241042346,5.78175436624655,0.13657790675822193,-17.20507070226317
indonesian,projective_random:avg_complexity,4.448073272589218,5.854174583078535,0.031941861103235165,-44.02064444350437
indonesian,projective_random:avg_arity,0.5677676537585421,0.7525000810647664,0.004612531797281059,-40.0501146496417
indonesian,projective_random:avg_subtree_size,2.5833333333333335,3.5101522954583193,0.029449462077632237,-31.471507346442603
indonesian,projective_random:avg_depth,4.540432801822323,6.183341167615013,0.02466962729521104,-66.59639994284053
indonesian,projective_random:avg_efficiency_ratio,3.067943939600453,3.2830324521499357,0.14402961234007058,-1.4933631289767948
indonesian,simplified:avg_dependency_length,3.4319218241042346,3.252988047808765,0.0,
indonesian,simplified:avg_complexity,4.448073272589218,4.187334149826495,0.0,
indonesian,simplified:avg_arity,0.5677676537585421,0.527454582567871,0.0,
indonesian,simplified:avg_subtree_size,2.5833333333333335,2.291079812206573,0.0,
indonesian,simplified:avg_depth,4.540432801822323,4.43335374566238,0.0,
indonesian,simplified:avg_efficiency_ratio,3.067943939600453,3.032455765111585,0.0,
